NCA NUMBER,NCA TYPE,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,AMOUNT,PURPOSE,REMARKS
NCA-ROIX-20-0004571,REG,03/26/20 10:31:42,03/27/2020 15:50:27,State Universities and Colleges (SUCs),Sulu State College,,"29,781,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-CAR-20-0004570,TR,03/26/20 10:06:50,03/26/2020 12:37:11,Department of Public Works and Highways (DPWH),Office of the Secretary,Regional Office CAR - Proper,"120,000.00",Release of cash allocation to cover the refund of Performance Security deposited to the account of the Bureau of the Treasury.,
NCA-CAR-20-0004569,TR,03/26/20 10:06:49,03/26/2020 12:37:11,Department of Public Works and Highways (DPWH),Office of the Secretary,Mountain Province 2nd District Engineering Office,"803,400.00",Release of cash allocation to cover the payment of the Bids and Awards Committee honoraria and the refund of the proceeds from the sale of bid documents paid by various bidders deposited to the account of the Bureau of the Treasury.,
NCA-ROXI-20-0004568,TLRG,03/26/20 09:59:27,03/27/2020 09:24:31,Department of Health (DOH),Office of the Secretary,Southern Philippines Medical Center,"1,443,069.00",Payment of Terminal Leave Benefits (TLB) of twelve (12) retirees.,
NCA-ROVII-20-0004567,REG,03/26/20 09:52:17,03/27/2020 12:09:28,Department of Education (DepEd),Office of the Secretary,Usmad National High School,"648,000.00",To cover additional operating requirements for CY 2020,
NCA-ROVII-20-0004566,REG,03/26/20 09:51:37,03/27/2020 12:09:28,Department of Education (DepEd),Office of the Secretary,Mohon Divino Amore National High School,"100,000.00",To cover additional operating requirements for CY 2020,
NCA-ROVII-20-0004565,REG,03/26/20 09:39:59,03/27/2020 12:09:27,State Universities and Colleges (SUCs),Bohol Island State University,,"7,821,837.00",To cover additional operating requirements for CY 2020,
NCA-ROIX-20-0004564,REG,03/26/20 09:32:56,03/27/2020 15:50:27,Department of Education (DepEd),Office of the Secretary,Dapitan City High School,"288,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004563,REG,03/26/20 09:27:59,03/27/2020 15:50:27,Department of Education (DepEd),Office of the Secretary,Begang National High School,"5,835,000.00",To cover operating requirements for the second quarter of FY 2020,
NCA-ROIX-20-0004563,REG,03/26/20 09:27:59,03/27/2020 15:50:27,Department of Education (DepEd),Office of the Secretary,Basilan National High School,"30,666,000.00",To cover operating requirements for the second quarter of FY 2020,
NCA-CAR-20-0004562,TLRG,03/26/20 09:26:36,03/26/2020 12:37:11,State Universities and Colleges (SUCs),Benguet State University,,"136,052.00",Release of cash allocation to cover the Terminal Leave Benefits of two (2) optional retirees.,
NCA-ROVII-20-0004561,APB,03/26/20 09:21:26,03/27/2020 12:09:27,Department of Education (DepEd),Office of the Secretary,Division of Bogo City,"89,164.00","To cover payment for Terminal Leave Benefits (TLB) of Ms. Delia B. Diola, former Master Teacher I",
NCA-ROIX-20-0004560,REG,03/26/20 08:53:48,03/27/2020 15:50:26,Department of Education (DepEd),Office of the Secretary,Division of Isabela City,"173,258,000.00",To cover operating requirements for the second quarter of FY 2020,
NCA-ROIX-20-0004559,REG,03/26/20 08:53:48,03/27/2020 15:50:26,Department of Health (DOH),Office of the Secretary,Basilan Provincial Hospital,"32,983,000.00","To cover the regular operating  and RLIP requirements for the second quarter (April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROIX-20-0004558,REG,03/26/20 08:53:47,03/27/2020 15:50:26,State Universities and Colleges (SUCs),Zamboanga City State Polytechnic College,,"49,741,000.00","To cover the regular operating  and RLIP requirements for the second quarter (April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROIX-20-0004557,REG,03/26/20 08:53:47,03/27/2020 15:50:26,Department of Education (DepEd),Office of the Secretary,Tukuran Technical Vocational High School (Tukuran Comprehensive NHS-San Carlos NHS),"14,685,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROIX-20-0004557,REG,03/26/20 08:53:47,03/27/2020 15:50:26,Department of Education (DepEd),Office of the Secretary,Mahayag National High School,"9,327,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROIX-20-0004557,REG,03/26/20 08:53:47,03/27/2020 15:50:26,Department of Education (DepEd),Office of the Secretary,Lapuyan National High School,"8,082,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROIX-20-0004557,REG,03/26/20 08:53:47,03/27/2020 15:50:26,Department of Education (DepEd),Office of the Secretary,Molave Vocational School (Molave Vocational TS),"20,932,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROIX-20-0004557,REG,03/26/20 08:53:47,03/27/2020 15:50:26,Department of Education (DepEd),Office of the Secretary,Tambulig (Echanca) National High School,"10,898,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROIX-20-0004557,REG,03/26/20 08:53:47,03/27/2020 15:50:26,Department of Education (DepEd),Office of the Secretary,Panagaan National High School,"5,130,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROIX-20-0004556,REG,03/26/20 08:53:46,03/27/2020 15:50:25,State Universities and Colleges (SUCs),Basilan State College,,"26,430,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC NO. 579.",
NCA-ROIX-20-0004555,REG,03/26/20 08:53:45,03/27/2020 15:50:25,Department of Health (DOH),Office of the Secretary,Mindanao Central Sanitarium,"64,972,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROV-20-0004554,TR,03/26/20 08:36:40,03/26/2020 15:06:03,Department of Public Works and Highways (DPWH),Office of the Secretary,Albay 3rd District Engineering Office,"1,738,787.00","To cover trust receipts deposited with the Bureau of Treasury pursuant to Executive Order No. 338 as implemented by COA-DBM-DOF Joint Circular No. 1-97 dated January 02, 1997, for payment of Honoraria to members of BAC, TWG and BAC Secretariat, in accordance with DBM Budget Circular Nos. 2007-3 and 2004-5A.",
NCA-ROIX-20-0004553,REG,03/25/20 16:00:58,03/27/2020 16:10:11,Department of Health (DOH),Office of the Secretary,Sulu Sanitarium,"18,276,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004552,REG,03/25/20 16:00:57,03/27/2020 16:10:11,State Universities and Colleges (SUCs),J. H. Cerilles State College,,"46,514,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROVI-20-0004551,REG,03/25/20 15:38:22,03/30/2020 08:45:15,Department of Education (DepEd),Office of the Secretary,Division of Sagay City,"191,648,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020).  Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROVI-20-0004550,REG,03/25/20 15:38:21,03/30/2020 08:43:38,Department of Education (DepEd),Office of the Secretary,Barangay Guimbaloan National High School,"3,233,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020).  Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROVI-20-0004550,REG,03/25/20 15:38:21,03/30/2020 08:43:38,Department of Education (DepEd),Office of the Secretary,Doña Montserrat Lopez Memorial High School,"36,810,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020).  Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROVI-20-0004550,REG,03/25/20 15:38:21,03/30/2020 08:43:38,Department of Education (DepEd),Office of the Secretary,Division of Silay City,"139,059,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020).  Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROVI-20-0004549,REG,03/25/20 15:38:20,03/30/2020 08:44:47,Department of Education (DepEd),Office of the Secretary,Serafin V. Aguilar Integrated School (Serafin V. Aguilar National High School),"1,573,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020).  Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
